,Word,Lower_case
299,Singapore,singapore
300,Slovakia,slovakia
301,Slovenia,slovenia
302,Solomon,solomon
303,Islands,islands
304,Somalia,somalia
305,Somaliland,somaliland
306,South,south
307,Africa,africa
308,South,south
309,Korea,korea
310,South,south
311,Ossetia,ossetia
312,Soviet,soviet
313,Union,union
314,Spain,spain
315,Sri,sri
316,Lanka,lanka
317,Sudan,sudan
318,Suriname,suriname
319,Svalbard,svalbard
320,Swaziland,swaziland
321,Sweden,sweden
322,Switzerland,switzerland
323,Syria,syria
324,Taiwan,taiwan
325,Tajikistan,tajikistan
326,Tanzania,tanzania
327,Thailand,thailand
328,Tibet,tibet
329,Tobago,tobago
330,Togo,togo
331,Tokelau,tokelau
332,Tonga,tonga
333,Transnistria,transnistria
334,Trinidad,trinidad
335,Trinidad,trinidad
336,Tobago,tobago
337,Tristan,tristan
338,da,da
339,Cunha,cunha
340,Tunisia,tunisia
341,Turkey,turkey
342,Turkmenistan,turkmenistan
343,Turks,turks
344,Caicos,caicos
345,Islands,islands
346,Turks,turks
347,Islands,islands
348,Tuvalu,tuvalu
349,UAE,uae
350,Uganda,uganda
351,UK,uk
352,Ukraine,ukraine
353,United,united
354,Arab,arab
355,Emirates,emirates
356,United,united
357,Kingdom,kingdom
358,United,united
359,States,states
360,United,united
361,States,states
362,Virgin,virgin
363,Islands,islands
364,Uruguay,uruguay
365,US,us
366,USA,usa
367,USSR,ussr
368,US,us
369,Virgin,virgin
370,Islands,islands
371,Uzbekistan,uzbekistan
372,Vanuatu,vanuatu
373,Vatican,vatican
374,Vatican,vatican
375,City,city
376,Venezuela,venezuela
377,Vietnam,vietnam
378,Virgin,virgin
379,Islands,islands
380,Wallis,wallis
381,Futuna,futuna
382,Wallis,wallis
383,Islands,islands
384,Western,western
385,Sahara,sahara
386,Yemen,yemen
387,Zambia,zambia
388,Zimbabwe,zimbabwe
