,Word,Lower_case
301,Taiwan,taiwan
302,Tanzania,tanzania
303,United,united
304,Republic,republic
305,Tanzania,tanzania
306,Thailand,thailand
307,Timor-Leste,timor-leste
308,Togo,togo
309,Tokelau,tokelau
310,Tonga,tonga
311,Trinidad,trinidad
312,Tobago,tobago
313,Tunisia,tunisia
314,Turkey,turkey
315,Turkmenistan,turkmenistan
316,Turks,turks
317,Caicos,caicos
318,Islands,islands
319,Tuvalu,tuvalu
320,Ukraine,ukraine
321,United,united
322,Arab,arab
323,Emirates,emirates
324,United,united
325,Kingdom,kingdom
326,United,united
327,States,states
328,United,united
329,States,states
330,Minor,minor
331,Outlying,outlying
332,Islands,islands
333,Uruguay,uruguay
334,Uzbekistan,uzbekistan
335,Vanuatu,vanuatu
336,Venezuela,venezuela
337,Viet,viet
338,Nam,nam
339,Virgin,virgin
340,Islands,islands
341,Wallis,wallis
342,Futuna,futuna
343,Yemen,yemen
344,Zambia,zambia
345,Zimbabwe,zimbabwe
