,Word,Lower_case
302,City,city
303,Alexandria,alexandria
304,Arlington,arlington
305,Chesapeake,chesapeake
306,Hampton,hampton
307,Newport,newport
308,News,news
309,Norfolk,norfolk
310,Portsmouth,portsmouth
311,Richmond,richmond
312,Virginia,virginia
313,Beach,beach
314,Bellevue,bellevue
315,Everett,everett
316,Seattle,seattle
317,Spokane,spokane
318,Tacoma,tacoma
319,Vancouver,vancouver
320,Green,green
321,Bay,bay
322,Madison,madison
323,Milwaukee,milwaukee
